adminDistrict,adminDistrict2,formattedAddress,locality,postalCode,lat,lng
Castilla La Mancha,Toledo,45600,Castilla La Mancha,España,Talavera de la Reina,45600,39.9709587097168,-4.81943416595459,51-65,Hombre,Formación profesional/Bachillerato,Casado
Principado de Asturias,Asturias,33450,Principado de Asturias,España,Piedras Blancas,33450,43.568733215332,-5.97445392608643,20-30,Mujer,Universitarios,Soltero
Galicia,Coruña,15005,Galicia,España,Provincia de A Coruña,15005,43.361400604248,-8.41011905670166,41-50,Mujer,Universitarios,Casado
Galicia,Coruña,15620,Galicia,España,Mugardos,15620,43.4521560668945,-8.2631721496582,41-50,Mujer,Universitarios,Casado
Galicia,Coruña,15679,Galicia,España,Temple,15679,43.3165321350098,-8.35702991485596,31-40,Hombre,Doctorado/Máster,Casado
Galicia,Coruña,15142,Galicia,España,A Baiuca,15142,43.3131713867188,-8.50944042205811,20-30,Mujer,Formación profesional/Bachillerato,Soltero
Comunidad de Madrid,Madrid,28660,Comunidad de Madrid,España,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796,31-40,Mujer,Universitarios,Casado
Galicia,Coruña,15008,Galicia,España,Provincia de A Coruña,15008,43.3305702209473,-8.41056346893311,41-50,Mujer,Formación profesional/Bachillerato,Casado
Comunidad de Madrid,Madrid,28011,Comunidad de Madrid,España,Madrid,28011,40.4235000610352,-3.75406408309937,31-40,Mujer,Universitarios,Casado
Andalucía,Sevilla,41010,Andalucía,España,Sevilla,41010,37.3815307617188,-6.00859022140503,20-30,Mujer,Universitarios,Soltero
Comunidad de Madrid,Madrid,28033,Comunidad de Madrid,España,Madrid,28033,40.4725952148438,-3.63605403900146,20-30,Mujer,Universitarios,Soltero
Comunidad de Madrid,Madrid,28041,Comunidad de Madrid,España,Madrid,28041,40.366081237793,-3.69907307624817,31-40,Hombre,Básicos,Soltero
Comunidad de Madrid,Madrid,28026,Comunidad de Madrid,España,Madrid,28026,40.3834915161133,-3.7041609287262,31-40,Mujer,Universitarios,Casado
Cataluña,Barcelona,08019,Cataluña,España,Barcelona,08019,41.4115753173828,2.21456599235535,31-40,Hombre,Formación profesional/Bachillerato,Casado
