Edad,Sexo,Cpostal,Estudios,Ecivil
+65,Hombre,28034,,Universitarios,Casado
20-30,Mujer,28049,Universitarios,Casado
31-40,Hombre,21004,Universitarios,Casado
31-40,Mujer,28015,Universitarios,Casado
41-50,Mujer,28034,Universitarios,Casado
41-50,Mujer,28420,Formación profesional/Bachillerato,Casado
31-40,Mujer,28039,Formación profesional/Bachillerato,Casado
31-40,Mujer,28660,Universitarios,Casado
41-50,Mujer,28003,Universitarios,Casado
31-40,Mujer,28020,Doctorado/Máster,Casado
41-50,Mujer,28015,Universitarios,Casado
31-40,Mujer,28003,Universitarios,Casado
31-40,Mujer,28015,Universitarios,Casado
20-30,Mujer,19161,Formación profesional/Bachillerato,Divorciado
31-40,Mujer,28020,Universitarios,Soltero
20-30,Mujer,28806,Universitarios,Casado
20-30,Hombre,28806,Formación profesional/Bachillerato,Casado
51-65,Mujer,28818,Formación profesional/Bachillerato,Casado
51-65,Mujer,28061,Formación profesional/Bachillerato,Casado
41-50,Hombre,28806,Doctorado/Máster,Casado
20-30,Mujer,28028,Universitarios,Soltero
31-40,Mujer,28850,Doctorado/Máster,Soltero
51-65,Hombre,28818,Universitarios,Casado
51-65,Hombre,28818,Universitarios,Casado
31-40,Mujer,28020,Universitarios,Soltero
41-50,Hombre,28016,Universitarios,Casado
41-50,Mujer,28982,Doctorado/Máster,Casado
51-65,Mujer,28439,Universitarios,Casado
41-50,Mujer,28054,Universitarios,Casado
51-65,Hombre,28806,Doctorado/Máster,Casado
31-40,Mujer,28045,Universitarios,Casado
20-30,Mujer,28823,Universitarios,Soltero
51-65,Mujer,28320,Universitarios,Casado
41-50,Mujer,28806,Doctorado/Máster,Casado
31-40,Mujer,28700,Universitarios,Casado
51-65,Mujer,28039,,Universitarios,Casado
51-65,Mujer,28050,Universitarios,Viudo
41-50,Mujer,28028,Universitarios,Casado
31-40,Mujer,28032,Formación profesional/Bachillerato,Casado
41-50,Mujer,28018,Universitarios,Divorciado
31-40,Mujer,28016,Universitarios,Casado
20-30,Mujer,28053,Formación profesional/Bachillerato,Casado
20-30,Mujer,28053,Formación profesional/Bachillerato,Casado
41-50,Mujer,28018,Universitarios,Soltero
20-30,Mujer,28018,Básicos,Soltero
31-40,Mujer,28053,Básicos,Casado
41-50,Mujer,28007,Universitarios,Casado
31-40,Mujer,28018,Básicos,Casado
41-50,Mujer,28018,Universitarios,Casado
41-50,Mujer,28018,Formación profesional/Bachillerato,Casado
31-40,Mujer,28053,Universitarios,Casado
51-65,Mujer,28022,Universitarios,Casado
41-50,Mujer,28053,Doctorado/Máster,Soltero
41-50,Mujer,28031,Universitarios,Soltero
31-40,Mujer,28053,Básicos,Soltero
41-50,Mujer,28018,Básicos,Casado
31-40,Mujer,28031,Formación profesional/Bachillerato,Casado
41-50,Hombre,28330,Universitarios,Casado
31-40,Mujer,28038,Básicos,Soltero
41-50,Hombre,28221,Universitarios,Casado
51-65,Mujer,41010,Formación profesional/Bachillerato,Casado
41-50,Mujer,28850,Universitarios,Casado
51-65,Mujer,41012,Formación profesional/Bachillerato,Casado
+65,Mujer,41010,Formación profesional/Bachillerato,Divorciado
41-50,Mujer,41003,Formación profesional/Bachillerato,Soltero
31-40,Hombre,41010,Formación profesional/Bachillerato,Casado
51-65,Mujer,28038,Universitarios,Soltero
41-50,Mujer,28018,Básicos,Divorciado
31-40,Mujer,45600,Universitarios,Soltero
41-50,Mujer,06011,Universitarios,Casado
31-40,Hombre,28050,Universitarios,Casado
20-30,Mujer,28017,Doctorado/Máster,Soltero
20-30,Mujer,28028,Doctorado/Máster,Soltero
20-30,Mujer,28012,Doctorado/Máster,Soltero
31-40,Mujer,28028,Doctorado/Máster,Casado
31-40,Mujer,28019,Doctorado/Máster,Soltero
20-30,Mujer,28036,Universitarios,Soltero
20-30,Mujer,28100,Doctorado/Máster,Soltero
20-30,Mujer,28915,Doctorado/Máster,Soltero
31-40,Mujer,13005,Formación profesional/Bachillerato,Casado
