adminDistrict,lat,lng
Galicia,Provincia de A Coruña,15002,43.3800010681152,-8.40155982971191
Comunidad de Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Extremadura,Badajoz,06011,38.8050003051758,-7.07532691955566
Comunidad de Madrid,Madrid,28033,40.4725952148438,-3.63605403900146
Comunidad de Madrid,Madrid,28032,40.4107513427734,-3.60250091552734
Comunidad de Madrid,Madrid,28034,40.4958686828613,-3.69843006134033
Comunidad de Madrid,Villaviciosa de Odón,28670,40.3577995300293,-3.93684196472168
Comunidad de Madrid,Madrid,28001,40.4245567321777,-3.68349695205688
Andalucía,Huelva,21004,37.262393951416,-6.94346809387207
Galicia,Provincia de A Coruña,15011,43.3711128234863,-8.42138481140137
Comunidad de Madrid,Madrid,28030,40.4029922485352,-3.63892197608948
Comunidad de Madrid,Villanueva de la Cañada,28691,40.4400749206543,-3.99483394622803
Comunidad de Madrid,Madrid,28016,40.4603805541992,-3.6743950843811
Comunidad de Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Comunidad de Madrid,Fuenlabrada,28943,40.2825546264648,-3.80556511878967
Comunidad de Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Comunidad de Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Comunidad de Madrid,Galapagar,28420,40.6033706665039,-3.9647650718689
Comunidad de Madrid,Alcalá de Henares,28806,40.5068168640137,-3.39414596557617
Comunidad de Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Comunidad de Madrid,Madrid,28015,40.4312515258789,-3.71114492416382
Comunidad de Madrid,Vaciamadrid,28521,40.3421401977539,-3.50360703468323
Galicia,Provincia de A Coruña,15011,43.3711128234863,-8.42138481140137
Comunidad de Madrid,Santorcaz,28818,40.469425201416,-3.25701093673706
Castilla La Mancha,Pozo de Guadalajara,19161,40.497501373291,-3.18101906776428
Comunidad de Madrid,Madrid,28015,40.4312515258789,-3.71114492416382
Castilla and Leon,Caminayo,24883,42.8757667541504,-4.91912317276001
Comunidad de Madrid,Parla,28982,40.2380332946777,-3.76438498497009
Comunidad de Madrid,Alcalá de Henares,28805,40.5083351135254,-3.3361439704895
Comunidad de Madrid,Vaciamadrid,28521,40.3421401977539,-3.50360703468323
Comunidad de Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Castilla La Mancha,Talavera de la Reina,45600,39.9709587097168,-4.81943416595459
Comunidad de Madrid,Alcalá de Henares,28806,40.5068168640137,-3.39414596557617
Comunidad de Madrid,Madrid,28020,40.4546432495117,-3.69713807106018
Comunidad de Madrid,Alpedrete,28439,40.6620292663574,-4.03371000289917
Comunidad de Madrid,Madrid,28020,40.4546432495117,-3.69713807106018
Comunidad de Madrid,Madrid,28003,40.4429893493652,-3.70595002174377
Comunidad de Madrid,Madrid,28022,40.4339294433594,-3.59585309028625
Comunidad de Madrid,Madrid,28030,40.4029922485352,-3.63892197608948
Comunidad de Madrid,San Martín de la Vega,28330,40.2438316345215,-3.56905889511108
Comunidad de Madrid,Madrid,28028,40.4311828613281,-3.66809511184692
Comunidad de Madrid,Coslada,28823,40.4330291748047,-3.54068207740784
Comunidad de Madrid,Madrid,28046,40.475414276123,-3.68589305877686
Comunidad de Madrid,Torrejón de Ardoz,28850,40.4532318115234,-3.46486306190491
Comunidad de Madrid,Madrid,28054,40.3690338134766,-3.78146290779114
